CID,CRPName,Party,Office,FECCandID
N00036633,"Abraham, Ralph",R,LA05,H4LA05221
N00035451,"Adams, Alma",D,NC12,H4NC12100
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
N00033997,"Aguilar, Pete",D,CA31,H2CA31125
N00009888,"Alexander, Lamar",R,TNS2,S2TN00058
N00033720,"Allen, Richard W",R,GA12,H2GA12121
N00040989,"Allred, Colin",D,TX32,H8TX32098
N00031938,"Amash, Justin",L,MI03,P00016063
N00031177,"Amodei, Mark",R,NV02,H2NV02395
N00042868,"Armstrong, Kelly",R,ND01,H8ND00096
N00038285,"Arrington, Jodey",R,TX19,H6TX19099
N00041104,"Axne, Cindy",D,IA03,H8IA03124
N00005736,"Babin, Brian",R,TX36,H6TX02079
N00037049,"Bacon, Donald John",R,NE02,H6NE02125
N00041954,"Baird, Jim",R,IN04,H8IN04199
N00042194,"Balderson, Troy",R,OH12,H8OH12180
N00004367,"Baldwin, Tammy",D,WIS1,S2WI00219
N00037185,"Banks, Jim",R,IN03,H6IN03229
N00031233,"Barr, Andy",R,KY06,H0KY06104
N00037019,"Barragan, Nanette",D,CA44,H6CA44103
N00006236,"Barrasso, John A",R,WYS1,S6WY00068
N00031877,"Bass, Karen",D,CA37,H0CA33117
N00033904,"Beatty, Joyce",D,OH03,H2OH03125
N00030608,"Bennet, Michael",D,COS1,S0CO00211
N00030717,"Bera, Ami",D,CA07,H0CA03078
N00039533,"Bergman, John",R,MI01,H6MI01226
N00031559,"Beutler, Jaime Herrera",R,WA03,H0WA03187
N00036018,"Beyer, Don",D,VA08,H4VA08224
N00039293,"Biggs, Andy",R,AZ05,H6AZ05083
N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
N00044335,"Bishop, Dan",R,NC09,H0NC09187
N00025292,"Bishop, Rob",R,UT01,H2UT01094
N00002674,"Bishop, Sanford",D,GA02,H2GA02031
N00003105,"Blackburn, Marsha",R,TNS1,S8TN00337
N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
N00031685,"Blumenthal, Richard",D,CTS2,S0CT00177
N00005195,"Blunt, Roy",R,MOS1,S0MO00183
N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
N00035267,"Booker, Cory",D,NJS2,S4NJ00185
N00013873,"Boozman, John",R,ARS2,S0AR00150
N00035420,"Bost, Mike",R,IL12,H4IL12060
N00035307,"Boyle, Brendan",D,PA02,H4PA13199
N00005883,"Brady, Kevin",R,TX08,H6TX08100
N00041731,"Braun, Mike",R,INS1,S8IN00171
N00041385,"Brindisi, Anthony",D,NY22,H8NY22151
N00030910,"Brooks, Mo",R,AL05,H0AL05163
N00033495,"Brooks, Susan",R,IN05,H2IN05082
N00036999,"Brown, Anthony",D,MD04,H6MD04209
N00003535,"Brown, Sherrod",D,OHS1,S6OH00163
N00034254,"Brownley, Julia",D,CA26,H2CA00120
N00027626,"Buchanan, Vernon",R,FL16,H6FL13148
N00030829,"Buck, Ken",R,CO04,H4CO04090
N00031227,"Bucshon, Larry",R,IN08,H0IN08114
N00039551,"Budd, Ted",R,NC13,H6NC13129
N00041594,"Burchett, Tim",R,TN02,H8TN02119
