A0000	Agriculture	A11	Misc Agriculture	Agribusiness	Agribusiness		A
A1000	Crop production & basic processing	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A1100	Cotton	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A1200	Sugar cane & sugar beets	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A1300	Tobacco & Tobacco products	A02	Tobacco	Agribusiness	Agribusiness		A
A1400	"Vegetables, fruits and tree nut"	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A1500	"Wheat, corn, soybeans and cash grain"	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A1600	"Other commodities (incl rice, peanuts, honey)"	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness		A
A2000	Milk & dairy producers	A04	Dairy	Agribusiness	Agribusiness		A
A2300	Poultry & eggs	A05	Poultry & Eggs	Agribusiness	Agribusiness		A
A3000	Livestock	A06	Livestock	Agribusiness	Agribusiness		A
A3100	Animal feed & health products	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A3200	Sheep and Wool Producers	A06	Livestock	Agribusiness	Agribusiness		A
A3300	Feedlots & related livestock services	A06	Livestock	Agribusiness	Agribusiness		A
A3500	Horse breeders	A06	Livestock	Agribusiness	Agribusiness		A
A4000	Agricultural services & related industries	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A4100	Agricultural chemicals (fertilizers & pesticides)	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A4200	Farm machinery & equipment	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A4300	Grain traders & terminals	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A4500	Veterinarians	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A5000	Forestry & Forest Products	A10	Forestry & Forest Products	Agribusiness	Agribusiness		A
A5200	Paper & pulp mills and paper manufacturing	A10	Forestry & Forest Products	Agribusiness	Agribusiness		A
A6000	Farm organizations & cooperatives	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A6500	Farm bureaus	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
A8000	Florists & Nursery Services	A07	Agricultural Services/Products	Agribusiness	Agribusiness		A
B0000	Construction & Public Works	C01	General Contractors	Construction	Construction		C
B0500	Builders associations	C01	General Contractors	Construction	Construction		C
B1000	"Public works, industrial & commercial construction"	C01	General Contractors	Construction	Construction		C
B1200	Dredging Contractors	C01	General Contractors	Construction	Construction		C
B1500	"Construction, unclassified"	C01	General Contractors	Construction	Construction		C
B2000	Residential construction	C02	Home Builders	Construction	Construction		C
B2400	Mobile home construction	C02	Home Builders	Construction	Construction		C
B3000	Special trade contractors	C03	Special Trade Contractors	Construction	Construction		C
B3200	Electrical contractors	C03	Special Trade Contractors	Construction	Construction		C
B3400	"Plumbing, heating & air conditioning"	C03	Special Trade Contractors	Construction	Construction		C
B3600	Landscaping & Excavation Svcs	C03	Special Trade Contractors	Construction	Construction		C
B4000	"Engineering, architecture & construction mgmt svcs"	C04	Construction Services	Construction	Construction		C
B4200	Architectural services	C04	Construction Services	Construction	Construction		C
B4300	Surveying	C04	Construction Services	Construction	Construction		C
B4400	Engineers - type unknown	C04	Construction Services	Construction	Construction		C
B5000	Building materials	C05	Building Materials & Equipment	Construction	Construction		C
B5100	"Stone, clay, glass & concrete products"	C05	Building Materials & Equipment	Construction	Construction		C
B5200	Lumber and wood products	C05	Building Materials & Equipment	Construction	Construction		C
B5300	Plumbing & pipe products	C05	Building Materials & Equipment	Construction	Construction		C
B5400	Other construction-related products	C05	Building Materials & Equipment	Construction	Construction		C
B5500	Electrical Supply	C05	Building Materials & Equipment	Construction	Construction		C
B6000	Construction equipment	C05	Building Materials & Equipment	Construction	Construction		C
C0000	Communications & Electronics	B00	Misc Communications/Electronics	Communic/Electronics	Communications/Electronics		B
C1000	Printing and publishing (printed & online)	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics		B
C1100	"Book, newspaper & periodical publishing"	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics		B
C1300	Commercial printing & typesetting	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics		B
C1400	Greeting card publishing	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics		B
C2000	Entertainment Industry/Broadcast & Motion Pictures	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2100	Commercial TV & radio stations	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2200	Cable & satellite TV production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2300	TV production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2400	Motion Picture production & distribution	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2600	Recorded Music & music production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2700	Movie Theaters	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2800	"Bands, orchestras & other live music production"	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C2900	Live theater & other entertainment productions	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics		B
C4000	Telecommunications	B09	Telecom Services	Communic/Electronics	Communications/Electronics		B
C4100	Telephone utilities	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics		B
C4200	Long-distance telephone & telegraph service	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics		B
C4300	Cell/wireless service providers	B09	Telecom Services	Communic/Electronics	Communications/Electronics		B
C4400	Satellite communications	B09	Telecom Services	Communic/Electronics	Communications/Electronics		B
C4500	Cable distributors & service providers	B09	Telecom Services	Communic/Electronics	Communications/Electronics		B
C4600	Other Communications Services	B09	Telecom Services	Communic/Electronics	Communications/Electronics		B
C5000	Electronics manufacturing & services	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5100	Computer manufacture & services	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5110	Computer components & accessories	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5120	Computer software	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5130	Data processing & computer services	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5200	Telecommunications Devices	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5300	Other Communication Electronics	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C5400	Industrial Electronics	B12	Electronics Mfg & Equip	Communic/Electronics	Communications/Electronics		B
C6000	Internet & Online Services	B13	Internet	Communic/Electronics	Communications/Electronics		B
C6100	Online Entertainment	B13	Internet	Communic/Electronics	Communications/Electronics		B
C6200	Social Media	B13	Internet	Communic/Electronics	Communications/Electronics		B
C6300	Search Engine/Email Services	B13	Internet	Communic/Electronics	Communications/Electronics		B
C6400	Vendors	B13	Internet	Communic/Electronics	Communications/Electronics		B
C6500	Hosting/Cloud Services	B13	Internet	Communic/Electronics	Communications/Electronics		B
D0000	Defense	D03	Misc Defense	Defense	Defense		D
D2000	Defense aerospace contractors	D01	Defense Aerospace	Defense	Defense		D
D3000	Defense electronic contractors	D02	Defense Electronics	Defense	Defense		D
D4000	Defense Research & Development	D03	Misc Defense	Defense	Defense		D
D5000	Defense shipbuilders	D03	Misc Defense	Defense	Defense		D
D6000	Homeland Security contractors	D03	Misc Defense	Defense	Defense		D
D8000	Ground-based & other weapons systems	D03	Misc Defense	Defense	Defense		D
D9000	Defense-related services	D03	Misc Defense	Defense	Defense		D
E0000	"Energy, Natural Resources and Environment"	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources		E
E1000	Energy production & distribution	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources		E
E1100	Oil & Gas	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources		E
